,Neighborhood,Venue,Venue id,Venue Latitude,Venue Longitude,tipCount,likes,rating
17,Uptown,Middle East Bakery & Grocery & Café,4a96fa5ff964a520cd2720e3,41.976212540725655,-87.66861012856421,28,71,9.2
18,Uptown,Middle East Bakery & Grocery & Café,4a96fa5ff964a520cd2720e3,41.976212540725655,-87.66861012856421,28,71,9.2
19,Edgewater,Middle East Bakery & Grocery & Café,4a96fa5ff964a520cd2720e3,41.976212540725655,-87.66861012856421,28,71,9.2
20,Edgewater,Middle East Bakery & Grocery & Café,4a96fa5ff964a520cd2720e3,41.976212540725655,-87.66861012856421,28,71,9.2
21,Uptown,Zanzibar Cafe,5aa2b12d5c68386166696a25,41.983879,-87.656994,35,0,5.4
22,Uptown,Zanzibar Cafe,5aa2b12d5c68386166696a25,41.983879,-87.656994,35,0,5.4
23,Edgewater,Zanzibar Cafe,5aa2b12d5c68386166696a25,41.983879,-87.656994,35,0,5.4
24,Edgewater,Zanzibar Cafe,5aa2b12d5c68386166696a25,41.983879,-87.656994,35,0,5.4
25,Uptown,Flourish Bakery Cafe,4a6b96cbf964a52041cf1fe3,41.98375595664209,-87.65957484711191,17,0,7.3
26,Uptown,Flourish Bakery Cafe,4a6b96cbf964a52041cf1fe3,41.98375595664209,-87.65957484711191,17,0,7.3
27,Edgewater,Flourish Bakery Cafe,4a6b96cbf964a52041cf1fe3,41.98375595664209,-87.65957484711191,17,0,7.3
28,Edgewater,Flourish Bakery Cafe,4a6b96cbf964a52041cf1fe3,41.98375595664209,-87.65957484711191,17,0,7.3
29,Uptown,Anna Held Florist & Fountain Cafe,4bf58ddf493c2d7f57da4785,41.98370006486771,-87.65509528200072,5,5,7.3
30,Uptown,Anna Held Florist & Fountain Cafe,4bf58ddf493c2d7f57da4785,41.98370006486771,-87.65509528200072,5,5,7.3
31,Edgewater,Anna Held Florist & Fountain Cafe,4bf58ddf493c2d7f57da4785,41.98370006486771,-87.65509528200072,5,5,7.3
32,Edgewater,Anna Held Florist & Fountain Cafe,4bf58ddf493c2d7f57da4785,41.98370006486771,-87.65509528200072,5,5,7.3
33,Uptown,First Slice Pie Café,4e92128102d5dcbe60036479,41.979818979478985,-87.66949996784443,21,98,9.0
34,Uptown,First Slice Pie Café,4e92128102d5dcbe60036479,41.979818979478985,-87.66949996784443,21,98,9.0
35,Edgewater,First Slice Pie Café,4e92128102d5dcbe60036479,41.979818979478985,-87.66949996784443,21,98,9.0
36,Edgewater,First Slice Pie Café,4e92128102d5dcbe60036479,41.979818979478985,-87.66949996784443,21,98,9.0
37,Uptown,Honeymoon Cafe,4bdb56063904a59395e1499e,41.97329612178913,-87.65940652082205,7,2,5.6
38,Uptown,Honeymoon Cafe,4bdb56063904a59395e1499e,41.97329612178913,-87.65940652082205,7,2,5.6
39,Edgewater,Honeymoon Cafe,4bdb56063904a59395e1499e,41.97329612178913,-87.65940652082205,7,2,5.6
40,Edgewater,Honeymoon Cafe,4bdb56063904a59395e1499e,41.97329612178913,-87.65940652082205,7,2,5.6
41,Uptown,Polygon Cafe,509c01ece4b09cc7b56dbc5b,41.976375280224744,-87.66855122360342,16,59,8.2
42,Uptown,Polygon Cafe,509c01ece4b09cc7b56dbc5b,41.976375280224744,-87.66855122360342,16,59,8.2
43,Edgewater,Polygon Cafe,509c01ece4b09cc7b56dbc5b,41.976375280224744,-87.66855122360342,16,59,8.2
44,Edgewater,Polygon Cafe,509c01ece4b09cc7b56dbc5b,41.976375280224744,-87.66855122360342,16,59,8.2
45,Uptown,Ba Le,4aa3fa44f964a520a84420e3,41.97324299279736,-87.65975168952127,84,172,9.1
46,Uptown,Ba Le,4aa3fa44f964a520a84420e3,41.97324299279736,-87.65975168952127,84,172,9.1
47,Edgewater,Ba Le,4aa3fa44f964a520a84420e3,41.97324299279736,-87.65975168952127,84,172,9.1
48,Edgewater,Ba Le,4aa3fa44f964a520a84420e3,41.97324299279736,-87.65975168952127,84,172,9.1
49,Lincoln Square,The Courier Cafe,4b51fd69f964a520b45f27e3,40.11295276687419,-88.20908494510478,50,44,8.9
50,Lincoln Square,Xinh Xinh Cafe,4b590b55f964a520e87928e3,40.11319485352939,-88.20376547048988,20,14,7.2
51,Lincoln Square,Cafeteria & Company,52169d1a11d25334c755305a,40.11244745453738,-88.20923010691662,5,3,6.3
52,North Center,Blue Sky Bakery & Cafe,4c195d7498f4a593be0000f6,41.94931875019261,-87.67543034646368,11,14,7.4
53,North Center,I-Cafe Sukur's Place,4c2113bc7e85c92802f1b921,41.95430984150239,-87.67477845545349,4,37,7.8
54,North Center,Wasabi Cafe Sushi & Sake,4ef3af0e0aaf6577fd234f5a,41.95265049520543,-87.67779411750332,28,67,8.0
55,North Center,Cafe Orchid,4a0627d0f964a520c4721fe3,41.947078890873925,-87.67326646205645,19,59,8.2
56,North Center,Turquoise Restaurant & Cafe,4b57d441f964a520044328e3,41.94309878004518,-87.68269798114439,50,104,8.2
57,North Center,Cafe Tola,5aa99a65e1f0aa1412d324ff,41.94694998053808,-87.66947750043084,1,7,8.1
58,North Center,Pi-Hi Cafe,52c5a70f498e50b8c5eb434c,41.94604950650968,-87.68793005131229,6,9,7.0
59,North Center,First Slice Pie Cafe,4b33afa0f964a520da1c25e3,41.96168257189465,-87.6738364990983,20,26,8.1
60,North Center,Red Eyes Coffee,4afb1aa2f964a5202d1b22e3,41.957786595112744,-87.68137510632191,11,17,5.7
61,North Center,Southport & Irving,4f7f8817e4b0ac16a0eb0b22,41.95451892769165,-87.66429509882835,25,49,7.0
62,North Center,Fork,4a761079f964a52017e21fe3,41.96507346415205,-87.68633064973656,71,146,8.1
63,Lake View,Green Bay Café,4bbb73e89858d13ac95b33a2,42.10684856849739,-87.73469369320793,3,3,6.4
64,Lake View,Café Buon Giorno,4bf42b7398ac0f47bfad63a8,42.106601902326005,-87.73536496831255,5,5,6.0
65,Lake View,Café Aroma,4ae3562ff964a520a19321e3,42.106002855587214,-87.73252861627171,10,5,6.1
66,Lincoln Park,Café Ba-Ba-Reeba!,41eda300f964a520f71e1fe3,41.91892116715098,-87.64871793665422,217,776,9.2
67,Lincoln Park,Cafe Luigi,49d6a68ef964a520f65c1fe3,41.92907788292688,-87.64257114359089,26,22,6.9
68,Lincoln Park,Cafe Corbel,5acfc7691499467cf1440b05,41.924639,-87.639944,4,5,7.7
69,Lincoln Park,interurban cafe & pastry,50983e68f31c409be941bbe4,41.918480885562666,-87.64918628150845,9,18,8.6
70,Lincoln Park,Brownstone's Café,4baf5a94f964a520c9f93be3,41.92339445686417,-87.65391799491921,2,7,5.4
71,Lincoln Park,Café Brauer,4a7ec9ebf964a5201bf21fe3,41.919025438907596,-87.63376073799334,8,39,7.5
72,Lincoln Park,Sai Cafe,3fd66200f964a520e1ed1ee3,41.91848077708811,-87.65336071001629,20,41,8.6
73,Lincoln Park,Cafe Vienna,4a955e1ff964a520fe2220e3,41.92844871326229,-87.64217315080604,51,68,7.4
74,Lincoln Park,Basil Leaf Cafe,4a39a19cf964a520a39f1fe3,41.92720657937175,-87.64146107686892,27,32,8.3
75,Lincoln Park,Floriole Cafe & Bakery,4bc85a960050b7139329ba3b,41.92177896765953,-87.65917917197224,91,167,8.3
76,Lincoln Park,Geja's Cafe,4b09de84f964a520f31e23e3,41.91835513979681,-87.63824471705645,58,151,8.6
77,Lincoln Park,Starbucks,4aca1c81f964a5206cc020e3,41.91793670178446,-87.65341239955531,12,75,7.4
78,Lincoln Park,Patio at Cafe Brauer,4db18a33fc60cfe27fbb539f,41.91901918850262,-87.63372486660829,9,20,8.0
79,Lincoln Park,Bourgeois Pig,4ad4c86ff964a520bbfb20e3,41.925545333101404,-87.64786232321198,101,206,7.7
80,Lincoln Park,Ambrosia,46bc4377f964a520d7491fe3,41.917786756034594,-87.6532848011942,14,29,7.1
81,Lincoln Park,Tandoor Char House,4f3e856f6b742d59d6de5f88,41.93063933141973,-87.64894439066308,29,71,8.4
82,Lincoln Park,Ranalli's,4a333c5ff964a5201d9b1fe3,41.91729028775301,-87.63714446972752,40,125,8.5
83,Edison Park,Café Touché,4bd0edd1a8b3a593cbfd645f,42.003467,-87.817173,26,31,8.0
84,Norwood Park,Cozy Corner Cafe,5c124f8e5a2c91002cd2dc5c,41.979887,-87.807516,2,11,8.0
85,Albany Park,Pannenkoeken Café,4afef141f964a520ec3122e3,41.966398,-87.70858100000001,28,35,7.1
86,Albany Park,Cafe Urbano,54790b93498e7162d99f4f94,41.95687180039828,-87.72387916668809,14,38,8.6
87,Albany Park,Cafe Chien,55ecdd5a498ece8f3c76d39a,41.968172,-87.710638,3,4,6.6
88,Albany Park,Rotana Cafe,4f939313e4b0e8f465c26165,41.96880588183372,-87.7280041154274,4,7,5.4
89,Albany Park,Cafe Orient 33,5214018211d2b9413a2e41f1,41.96927958469699,-87.70845666539107,2,11,7.5
90,Albany Park,Carthage Cafe,4b758c1cf964a5203a132ee3,41.975702764096134,-87.715579801051,3,5,5.9
91,Portage Park,Chicago Billiards Cafe,4ba42816f964a520508738e3,41.95294477492496,-87.7757270462656,4,8,6.2
92,Portage Park,Fannie's,56475ce4498efa22f5243b2f,41.960769188478096,-87.75405497058392,3,14,8.1
93,Irving Park,City Newsstand,4bf1eedd189f0f470de2b762,41.95409668416768,-87.74735201642628,5,11,8.1
94,Dunning,Eli's Cheesecake Company,4b0903e5f964a520d91323e3,41.959410937476726,-87.7946731125239,31,51,8.4
95,Belmont Cragin,Jess Cafe,4b45f746f964a520101326e3,41.93838944391198,-87.77216787399128,26,57,8.2
96,Avondale,Cafe Con Leche,4b4bcb5df964a520efa726e3,41.930452098076884,-87.70963196033523,66,151,8.8
97,Avondale,Cafe Con Leche,4b4bcb5df964a520efa726e3,41.930452098076884,-87.70963196033523,66,151,8.8
98,Logan Square,Cafe Con Leche,4b4bcb5df964a520efa726e3,41.930452098076884,-87.70963196033523,66,151,8.8
99,Logan Square,Cafe Con Leche,4b4bcb5df964a520efa726e3,41.930452098076884,-87.70963196033523,66,151,8.8
100,Avondale,Lula Café,42d84e00f964a52028261fe3,41.927746625918466,-87.70705775217938,254,766,9.3
101,Avondale,Lula Café,42d84e00f964a52028261fe3,41.927746625918466,-87.70705775217938,254,766,9.3
102,Logan Square,Lula Café,42d84e00f964a52028261fe3,41.927746625918466,-87.70705775217938,254,766,9.3
103,Logan Square,Lula Café,42d84e00f964a52028261fe3,41.927746625918466,-87.70705775217938,254,766,9.3
104,Avondale,Café Tola,580feee638faa7849201e33e,41.94272204752738,-87.69804795234025,10,38,8.2
105,Avondale,Same Day Cafe,554a2be6498ea44cd0b2c9ca,41.92989890177015,-87.7073595514349,15,60,9.2
106,Avondale,Same Day Cafe,554a2be6498ea44cd0b2c9ca,41.92989890177015,-87.7073595514349,15,60,9.2
107,Logan Square,Same Day Cafe,554a2be6498ea44cd0b2c9ca,41.92989890177015,-87.7073595514349,15,60,9.2
108,Logan Square,Same Day Cafe,554a2be6498ea44cd0b2c9ca,41.92989890177015,-87.7073595514349,15,60,9.2
109,Avondale,Milano Cafe,4c3b901f4565e21ebfee566a,41.941016617528255,-87.72623003348248,6,5,6.3
110,Avondale,New Wave Coffee,4a9aec5df964a5209e3320e3,41.9279858735436,-87.70530767085545,115,214,7.6
111,Avondale,New Wave Coffee,4a9aec5df964a5209e3320e3,41.9279858735436,-87.70530767085545,115,214,7.6
112,Logan Square,New Wave Coffee,4a9aec5df964a5209e3320e3,41.9279858735436,-87.70530767085545,115,214,7.6
113,Logan Square,New Wave Coffee,4a9aec5df964a5209e3320e3,41.9279858735436,-87.70530767085545,115,214,7.6
114,Logan Square,Cafe Mustache,4c43e1d78c1f20a1fabb3b99,41.92320171805185,-87.69778335405806,40,119,7.9
115,West Town,Café Colao,4b682634f964a52045692be3,41.90301142926089,-87.69358032696766,16,41,9.0
116,West Town,Milk & Honey Café,40b68100f964a5207b001fe3,41.90329078198325,-87.67575090331945,94,68,8.0
117,West Town,Janik's Cafe,4ae336b9f964a520c19121e3,41.90310351247025,-87.67774963243055,53,83,8.0
118,West Town,Yuca Cafe,4d44606fbbb1a14304d14572,41.910347447445204,-87.68478474392711,14,1,5.9
119,West Town,Cafe Istanbul,5c17dc26fd9d73002c4695eb,41.90348,-87.67788900000001,1,11,8.7
120,West Town,Café Robey,5a03adb3b399f751314fa8c8,41.91056703001089,-87.67799172659353,4,31,9.0
121,West Town,Cafe Ballou,4ae35cdcf964a520039421e3,41.89876481034226,-87.6868540352223,11,11,6.0
122,West Town,Sunrise Cafe,4aedbf43f964a52087ce21e3,41.895837296651074,-87.67756934429502,23,48,8.3
123,West Town,Shokolad Pastry & Cafe,4b6486eff964a520f3ba2ae3,41.89580228674964,-87.69049337847873,10,21,8.4
124,West Town,Francesca's Cafe,4b44df21f964a520d9fe25e3,41.897532671145306,-87.67708735702844,5,7,6.7
125,West Town,Pita Cafe,55395025498e9eecfd024e0b,41.903234720001976,-87.67763795876573,2,4,5.8
126,West Town,The Robey,582cb04f51f5c15d8b178e4d,41.91056277240183,-87.67807436085234,9,64,8.0
127,West Town,Caffe Gelato,4b92e6bcf964a520952534e3,41.903457247762134,-87.67863661779097,13,25,8.3
128,West Town,Red Square Bathhouse,50f1e611e4b094237cc8e2e3,41.90330369079648,-87.67541247525944,12,51,7.9
129,West Town,Estelle's,40b28c80f964a520d3fe1ee3,41.91050484979757,-87.67802507790279,36,46,7.6
130,West Town,Greek Corner Restaurant,4c0061c5ad15a593f3d78d73,41.899521934597225,-87.6770202857892,15,11,7.2
131,North Lawndale,Green Tomato Cafe,50940dd7e4b0ad3a94ae4549,41.85314096012218,-87.71941370704961,5,21,8.4
132,South Lawndale,La Catedral Cafe & Restaurant,4f22f276e4b0717a66df87af,41.84621810204853,-87.70889447759848,21,43,8.9
133,Lower West Side,Cafe Jumping Bean,4af4398ff964a520b4f021e3,41.85784624822804,-87.66274738367372,64,141,8.9
134,Lower West Side,May Street Cafe,4b808586f964a520b07930e3,41.85267013225798,-87.65489486553129,19,12,7.0
135,Lower West Side,Vio Cafe and Grill,510ed847e4b0be8b41b5215f,41.85779673142986,-87.67608309222756,7,4,5.9
136,Lower West Side,Coyotes Restaurant,597037dc286fda37b99b2b52,41.85783537917233,-87.66347251859914,13,2,5.5
137,Lower West Side,'L' Cafecito Jumping Bean,5838a251d439073da7e8fa12,41.854726289077064,-87.67597945940588,5,2,8.8
138,Loop,Wildberry Pancakes & Cafe,4e879cdc93adfd051d6d609e,41.88441245349088,-87.62304697069011,475,1263,9.0
139,Loop,Corner Bakery Cafe,4ac3492df964a5201f9b20e3,41.885883,-87.63291,18,13,6.6
140,Loop,O'Briens Riverwalk Cafe,4bf8755d4a67c928ba7c25cf,41.888228026104386,-87.62666493637745,24,30,5.7
141,Loop,Specialty’s Café & Bakery,4a799832f964a52031e71fe3,41.88548497986431,-87.63689322498504,31,35,7.2
142,Loop,Corner Bakery Cafe,4b721dfff964a520876f2de3,41.880086,-87.632471,9,25,6.3
143,Loop,Hanabusa Cafe,5d54c94335b9e6000829a2ce,41.8818313705056,-87.62654542922974,5,8,6.5
144,Loop,Corner Bakery Cafe,4a50c752f964a52023b01fe3,41.88814347156145,-87.62512251734734,67,180,6.8
145,Loop,Meli Cafe & Juice Bar,4d07b941e350b60c49f69342,41.891897442350476,-87.63410820121744,85,197,8.1
146,Loop,Corner Bakery Cafe,4a896b33f964a520fd0720e3,41.880641,-87.626374,71,122,6.5
147,Loop,Hard Rock Cafe Chicago,4b66cfcbf964a520c22b2be3,41.89310284265355,-87.6304049858618,96,429,7.9
148,Loop,Venice Café,4a29427ef964a52076951fe3,41.88062728779529,-87.64059114731764,12,31,7.3
149,Loop,Specialty’s Café & Bakery,4bd95fb25cf276b02fa69d00,41.8803274,-87.64037789,20,34,6.9
150,Loop,Cafe 300,4a4ced28f964a52057ad1fe3,41.888039676105286,-87.63263567819958,11,17,6.5
151,Loop,Market Creations Cafe,572b99ba498e801155acb3e3,41.878102323657984,-87.63162399947805,3,11,8.0
152,Loop,Specialty’s Café & Bakery,51559ef6e4b0b2770c120463,41.88094149886156,-87.62963373892613,12,34,6.2
153,Loop,Alonti Cafe,4b59fdccf964a52062a628e3,41.87773605260522,-87.63795624777521,12,11,5.9
154,Loop,Toni Patisserie & Café,4e56e50352b1d8d4e311da9e,41.8832373107131,-87.62536236548584,98,255,8.0
155,Loop,Haifa Cafe,4bd06a9ecaff9521bcbacef0,41.88005828425384,-87.64096498130517,6,1,5.3
156,Loop,Nutella Cafe,592f142acf72a063b395cb43,41.88559525878139,-87.62447569769371,59,208,7.6
157,Loop,The Garden Cafe,4ba50eccf964a520e6d638e3,41.87961767654017,-87.62191276943415,4,3,6.2
158,Loop,Grand Lux Café,4a4fb34df964a52099af1fe3,41.89301240770666,-87.62439021696207,353,834,8.4
159,Loop,Corner Bakery Cafe,4b2aa287f964a520b5ac24e3,41.883416,-87.63362,24,54,6.8
160,Loop,Cryano's Cafe and Wine Bar,53911151498ef50eb3df2303,41.888490245162046,-87.62161358802618,2,6,5.6
161,Loop,Corner Bakery Cafe,4b575dabf964a520d83328e3,41.884625,-87.629993,28,50,6.6
162,Loop,Pittsfield Cafe,49fb4f6ff964a520336e1fe3,41.8829959217121,-87.62591858769127,37,75,7.4
163,Loop,Boar's Head Cafe,57e56178498e2033e701392a,41.88576261802537,-87.63455103868517,2,14,7.8
164,Loop,Capital One Café,5ce86dce3731ee002c172594,41.88054440000001,-87.62808319999998,2,8,7.0
165,Loop,Cafecito,4aba6980f964a520368120e3,41.87572380188489,-87.62638570202324,195,441,8.8
166,Loop,Revival Cafe-Bar RCB,57b485e1498e8f5a79049391,41.879534074819816,-87.63063625141754,5,9,7.8
167,Loop,Cafe 71,4b54b352f964a520cfc727e3,41.88059420200998,-87.63608289725524,2,3,5.9
168,Loop,Café Nordstrom,573b2c3238faeff59fd2cc36,41.891034600000005,-87.62558349999999,2,24,8.7
169,Armour Square,Gios Cafe & Deli,4b64d4e8f964a52078d32ae3,41.84359244542242,-87.64275499138172,17,24,7.8
170,Armour Square,Red Line Cafe,59ed00458ad62e6909c5e817,41.83459258814514,-87.63238443445832,2,5,7.7
171,Fuller Park,Pearl's Place,4bc4d8964cdfc9b6cc3f9921,41.82370358827493,-87.62286838851045,36,87,7.4
172,Fuller Park,Pearl's Place,4bc4d8964cdfc9b6cc3f9921,41.82370358827493,-87.62286838851045,36,87,7.4
173,Grand Boulevard,Pearl's Place,4bc4d8964cdfc9b6cc3f9921,41.82370358827493,-87.62286838851045,36,87,7.4
174,Grand Boulevard,Pearl's Place,4bc4d8964cdfc9b6cc3f9921,41.82370358827493,-87.62286838851045,36,87,7.4
175,Grand Boulevard,Ain't She Sweet Cafe,4a109e41f964a520e9761fe3,41.816816752680346,-87.61300407564259,36,72,8.7
176,Grand Boulevard,Sip & Savor,500efa59e4b02b08aa535a37,41.81681724591578,-87.61287605920819,12,20,8.2
177,Hyde Park,Plein Air Cafe & Eatery,5329cad8498e42386162a7fb,41.78989824741279,-87.5961439110726,37,136,8.9
178,Hyde Park,Bonjour Cafe,4a50cc8ff964a52025b01fe3,41.79543498316739,-87.58843880015448,28,52,8.3
179,Hyde Park,The Sitdown Cafe & Sushi Bar,4a7f7916f964a52028f41fe3,41.7995558122113,-87.59442161270167,43,75,8.7
180,Hyde Park,Istria Cafe,4a4f593ef964a52042af1fe3,41.792238591708774,-87.58857264357894,9,0,5.2
181,Hyde Park,Everett Kovler Café (Booth School of Business),4b7ae54af964a52076442fe3,41.78910959299703,-87.59579365989596,6,5,5.3
182,Hyde Park,Café Logan,50a14d20e4b04eb23eb8f7f1,41.78574921000546,-87.60350708949007,5,5,5.1
183,Hyde Park,Cafe 53,4d94d5971231b60ca31283a1,41.79946944045004,-87.59242725452137,28,32,7.4
184,Hyde Park,Capital One Café,5d9df16482baed00086dcab0,41.7994057,-87.5892372,1,1,7.4
185,Hyde Park,Ex Libris Café,4ca0eeef2fb1a1433dc70041,41.792435564532866,-87.59939007861117,13,18,5.4
186,Hyde Park,Brain Food Café - MSI,4e285943d22d848a146224bc,41.79059763634537,-87.5831705637742,4,6,5.3
187,Hyde Park,Café Corea,4bc35f0dabf49521dfa8c393,41.79521812088635,-87.58641050770093,11,12,5.9
188,Hyde Park,Starbucks,4bbb5a2f7421a593bbb4c440,41.789526399121044,-87.60155294621504,9,6,5.9
189,Hyde Park,Ancien Cycles,5676fbea498e97455c728b56,41.799647106048006,-87.5873313882204,3,7,7.1
190,Hyde Park,Native Foods,53160d72498ee62081f063d8,41.80025702369496,-87.58823094314613,30,75,7.3
191,South Shore,Chef Sara's Cafe,4ed5076d02d5ef93a2adeba9,41.76439140366172,-87.56489499485207,5,11,7.6
192,Chatham,Chatham Cafe,55a28d6b498e0dc85761d3e2,39.67731202657672,-89.70383268461833,3,13,7.9
193,Avalon Park,Sizzlin' Grille Café,537d4964498e6816a1ee5bfc,41.73689270019531,-87.58209991455078,2,6,7.7
194,Avalon Park,Sizzlin' Grille Café,537d4964498e6816a1ee5bfc,41.73689270019531,-87.58209991455078,2,6,7.7
195,Calumet Heights,Sizzlin' Grille Café,537d4964498e6816a1ee5bfc,41.73689270019531,-87.58209991455078,2,6,7.7
196,Calumet Heights,Sizzlin' Grille Café,537d4964498e6816a1ee5bfc,41.73689270019531,-87.58209991455078,2,6,7.7
197,Avalon Park,STONY EXPRESS,4cfbcb23ee9cb60c100792ad,41.74735470201171,-87.58606313713351,4,3,6.3
198,Pullman,Pullman Café,55f50288498e7d5bac664525,41.69056582123451,-87.60841422642912,3,5,8.0
199,Garfield Ridge,Cafe Rosa- American & Puerto Rican Food,563a985ccd10166ccc03a92d,41.796212,-87.76046600000002,3,6,6.5
200,New City,cafeteria yesenia,50785d1ce4b04c2b968992c2,41.816406,-87.665472,4,11,8.3
201,Beverly,Hearty Cafe Pancake House,4c4c6f1d5609c9b628538792,41.71828383517451,-87.68170062728929,24,43,8.3
202,Beverly,Ain't She Sweet Cafe,58bdeb995cab2f2d2c2ceb2b,41.713295453128154,-87.68193133816254,8,11,8.1
203,Morgan Park,Ellies Cafe,4c6a8808c946e21eaae0ec8e,41.69917371689465,-87.66892597987966,7,12,6.8
204,O'Hare,The Blossom Cafe,531ddd74498ef3f626cc5f90,41.965838698952425,-87.83628291415741,18,61,8.1
